"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"37","40","Tanzania","Dar es Salaam","KIMBANGULILE","14-11-2016","10800","1629",10800,2016,12724.328125,9458.556640625,10195.5341796875,14412.048828125,7051.857421875,15309.58203125,12839.40234375,16625.404296875,14.3239526748657,4603.6552734375,3236.84399414062,12724.328125,670360.998959284
"38","41","Tanzania","Dar es Salaam","KIMBUNGA","28-11-2017","4800","382",4800,2017,4250.6875,3136.96850585938,2346.60693359375,5728.18603515625,1391.81787109375,4916.31201171875,4212.27001953125,6722.6650390625,2.0365138053894,1372.07360839844,1310.06018066406,4250.6875,95308.8446124345
"39","43","Tanzania","Dar es Salaam","KIPONZA","22-11-2017","16800","1312",16800,2017,3711.98120117188,2760.34716796875,2002.21728515625,3929.31909179688,4958.14892578125,2826.23559570312,2456.5634765625,3852.4560546875,15.5152549743652,3573.85131835938,73.3779144287109,3711.98120117188,800295.591782504
"40","44","Tanzania","Dar es Salaam","KIPUNGUNI","29-11-2017","126000","6850",126000,2017,31726.98046875,22702.10546875,17085.169921875,34212.72265625,15111.8095703125,23404.97265625,19372.7421875,28691.6796875,63.4917411804199,9508.607421875,8037.341796875,31726.98046875,2971413.59774305
"41","45","Tanzania","Dar es Salaam","KISEWE","14-11-2016","49296","2064",49296,2016,14941.80859375,11105.2080078125,8110.67529296875,13654.1650390625,16818.71484375,9072.25390625,7652.7568359375,10638.45703125,68.7325210571289,9172.521484375,285.200225830078,14941.80859375,3666057.75842902
"42","46","Tanzania","Dar es Salaam","KISIWANI","26-02-2019","8604","3046",8604,2019,21912.8359375,15913.1513671875,12659.244140625,20939.30078125,7091.4736328125,16554.033203125,13165.0576171875,20494.33984375,14.870964050293,5303.291015625,6080.91796875,21912.8359375,695961.102607504
"43","47","Tanzania","Dar es Salaam","KIWALANI","01-12-2017","9290","1038",9290,2017,47193.2421875,33768.89453125,27365.4609375,28974.12109375,7621.8134765625,33585.09765625,27142.671875,29956.98828125,24.8070602416992,14116.24609375,16692.400390625,47193.2421875,1160970.44707381
"44","48","Tanzania","Dar es Salaam","KIZINGA","01-12-2017","59810","6447",59810,2017,12391.2275390625,9210.9482421875,7631.25927734375,10591.76171875,4426.73779296875,12477.95703125,10318.53515625,15445.2021484375,8.66387748718262,5365.79345703125,5257.97265625,12391.2275390625,405469.474460036
"45","49","Tanzania","Dar es Salaam","KOMBO","16-03-2019","39000","6038",39000,2019,26185.751953125,18740.958984375,17901.67578125,25305.689453125,9043.9384765625,24617.982421875,20710.98046875,39397.59765625,11.4316844940186,7191.87646484375,4833.4345703125,26185.751953125,535002.819790991
"46","50","Tanzania","Dar es Salaam","KONGOWE","14-11-2016","22400","2031",22400,2016,1332.81188964844,1004.75244140625,4078.75537109375,4052.27685546875,5718.1845703125,4510.05126953125,3749.97729492188,5097.95947265625,16.7952537536621,3448.93041992188,1120.03149414062,1332.81188964844,790761.446635842
